全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考,,
170003,LL0000000024,石川県,手取公園,テドリコウエン,Tedori park,172103,,石川県白山市平賀町ワ1-1,石川県,白山市,平賀町ワ,1-1,,マレットゴルフ場入口,36.49705136,136.4918004,,,4,3,1,0,3,3,0,1,0,1,1,有,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000025,石川県,手取公園,テドリコウエン,Tedori park,173240,,石川県能美郡川北町朝日タ64-11,石川県,川北町,朝日タ,64-11,,湊スポーツ園地,36.47060365,136.4817495,,,6,4,2,0,3,3,0,1,0,1,1,有,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000026,石川県,手取公園,テドリコウエン,Tedori park,172103,,石川県白山市湊町122,石川県,白山市,湊町,122,,美し河原園地,36.48357077,136.4788005,,,3,2,1,0,2,1,1,1,0,1,1,有,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000027,石川県,手取公園,テドリコウエン,Tedori park,172103,,石川県白山市平賀町ワ1-1,石川県,白山市,平賀町ワ,1-1,,マレットゴルフ場,36.49731119,136.4916314,,,4,3,1,0,3,3,0,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000028,石川県,松任海浜公園,マッツトウカイヒンコウエン,,172103,,石川県白山市徳光町2505-1,石川県,白山市,徳光町,2505-1,,徳光駐車場側,36.53676648,136.5292748,,,4,3,1,0,3,2,1,1,0,1,1,有,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000029,石川県,松任海浜公園,マッツトウカイヒンコウエン,,172103,,石川県白山市徳光町2505-1,石川県,白山市,徳光町,2505-1,,展望台,36.53813983,136.5299945,,,6,4,1,1,3,0,3,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000030,石川県,松任海浜公園,マッツトウカイヒンコウエン,,172103,,石川県白山市徳光町2505-1,石川県,白山市,徳光町,2505-1,,多目的広場近く,36.53983095,136.5317263,,,2,2,0,0,1,1,0,0,0,0,2,有,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000031,石川県,松任海浜公園,マッツトウカイヒンコウエン,,172103,,石川県白山市徳光町2505-1,石川県,白山市,徳光町,2505-1,,パークゴルフ場,36.54244985,136.5351639,,,1,1,0,0,2,2,0,1,0,1,1,有,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000032,石川県,松任海浜公園,マッツトウカイヒンコウエン,,172103,,石川県白山市徳光町2505-1,石川県,白山市,徳光町,2505-1,,自由広場,36.54029114,136.5334173,,,2,1,0,1,2,0,2,1,0,1,1,有,無,有,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000033,石川県,白山ろくテーマパーク（吉岡園地）,ハクサンロクテーマパーク（ヨシオカエンチ）,Hakusanroku theme park,172103,,石川県白山市河内町吉岡西103,石川県,白山市,河内町吉岡西,103,,駐車場,36.38224882,136.6130991,,,2,1,0,1,2,0,2,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000034,石川県,白山ろくテーマパーク（吉岡園地）,ハクサンロクテーマパーク（ヨシオカエンチ）,Hakusanroku theme park,172103,,石川県白山市河内町吉岡西103,石川県,白山市,河内町吉岡西,103,,梅園付近,36.37993061,136.6127504,,,2,1,0,1,2,0,2,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000035,石川県,白山ろくテーマパーク（吉岡園地）,ハクサンロクテーマパーク（ヨシオカエンチ）,Hakusanroku theme park,172103,,石川県白山市河内町吉岡西103,石川県,白山市,河内町吉岡西,103,,芝生広場付近,36.38031499,136.6137951,,,4,2,0,2,3,0,3,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000036,石川県,白山ろくテーマパーク（吉野園地）,ハクサンロクテーマパーク（ヨシノエンチ）,Hakusanroku theme park,172103,,石川県白山市吉野春34,石川県,白山市,吉野春,34,,北側,36.36650096,136.6112382,,,3,2,0,1,3,0,3,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000037,石川県,白山ろくテーマパーク（吉野園地）,ハクサンロクテーマパーク（ヨシノエンチ）,Hakusanroku theme park,172103,,石川県白山市吉野春34,石川県,白山市,吉野春,34,,南側,36.36599232,136.6116217,,,3,2,0,1,3,0,3,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000038,石川県,白山ろくテーマパーク（河合・下野園地）,ハクサンロクテーマパーク（カワイ・シモノエンチ）,Hakusanroku theme park,172103,,石川県白山市河合町へ23,石川県,白山市,河合町へ,34,,多目的広場近く,36.38319381,136.6087302,,,7,5,0,2,5,0,5,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000039,石川県,いしかわ四高記念公園,イシカワシコウキネンコウエン,"The fourth High School Memorial Park, Ishikawa",172014,,石川県金沢市広坂2-64-3,石川県,金沢市,広坂,2-64-3,,香林坊交番裏,36.56285,136.65504,,,7,5,0,2,5,0,5,0,0,0,2,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000040,石川県,いしかわ四高記念公園,イシカワシコウキネンコウエン,"The fourth High School Memorial Park, Ishikawa",172014,,石川県金沢市広坂2-64-3,石川県,金沢市,広坂,2-64-3,,カスケード横,36.56407,136.65539,,,3,3,0,0,1,0,1,0,0,0,2,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000041,石川県,本多の森公園,ホンダリモリコウエン,Hondanomori park,172014,,石川県金沢市出羽町7,石川県,金沢市,出羽町,7,,護国神社口,36.55874,136.66217,,,2,2,0,0,1,0,1,0,0,0,2,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000042,石川県,金沢城公園,カナザワジョウコウエン,Kanazawa castle park,172014,,石川県金沢市丸の内71-18,石川県,金沢市,丸の内,71-18,,三の丸広場内,36.56588,136.66177,,,6,4,0,2,3,0,3,0,0,0,2,有,有,無,7:00,18:00,10/16～2/末は8時～17時,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000043,石川県,金沢城公園,カナザワジョウコウエン,Kanazawa castle park,172014,,石川県金沢市丸の内71-18,石川県,金沢市,丸の内,71-18,,鶴の丸便所,36.56517,136.65917,,,7,5,0,2,5,0,5,0,0,0,2,有,有,無,7:00,18:00,10/16～2/末は8時～17時,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000044,石川県,金沢城公園,カナザワジョウコウエン,Kanazawa castle park,172014,,石川県金沢市丸の内71-18,石川県,金沢市,丸の内,71-18,,大手門近く,36.56792,136.66107,,,7,5,0,2,5,0,5,0,0,0,2,有,有,無,7:00,18:00,10/16～2/末は8時～17時,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000045,石川県,金沢城公園,カナザワジョウコウエン,Kanazawa castle park,172014,,石川県金沢市丸の内71-18,石川県,金沢市,丸の内,71-18,,黒門近く,36.56851,136.65843,,,7,5,0,2,5,0,5,0,0,0,2,有,有,無,7:00,18:00,10/16～2/末は8時～17時,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000046,石川県,金沢城公園,カナザワジョウコウエン,Kanazawa castle park,172014,,石川県金沢市丸の内71-18,石川県,金沢市,丸の内,71-18,,河北門スロープ下,36.56623,136.66063,,,1,1,0,0,0,0,0,0,0,0,2,有,有,有,7:00,18:00,10/16～2/末は8時～17時,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000047,石川県,金沢城公園,カナザワジョウコウエン,Kanazawa castle park,172014,,石川県金沢市丸の内71-18,石川県,金沢市,丸の内,71-18,,玉泉院丸庭園内,36.56526,136.65675,,,5,3,0,2,4,0,4,1,0,1,1,有,有,有,7:00,18:00,10/16～2/末は8時～17時,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000048,石川県,西部緑道貸付地,セイブリョクドウカシツケチ,Seibu Ryokudou Kashitukechi,172014,,石川県金沢市鞍月3丁目1021番地,石川県,金沢市,鞍月,3丁目1021番地,,西部緑道内,36.59954674,136.6195885,,,3,2,1,0,1,1,0,2,0,2,2,有,有,無,0:00,23:59,24時間利用可。,,,,,
170003,LL0000000049,石川県,県民の森,ケンミンノモリ,kenminnomori,172065,,石川県加賀市山中温泉上新保町イ68,石川県,加賀市,上新保町,イ68,,便所（正面）,36.2243206,136.4558293,,,6,4,0,2,3,0,3,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。冬期間は利用不可。,,,,,
170003,LL0000000050,石川県,県民の森,ケンミンノモリ,kenminnomori,172065,,石川県加賀市山中温泉上新保町イ68,石川県,加賀市,上新保町,イ68,,便所（バンガロー）,36.2261423,136.4574363,,,2,1,0,1,2,0,2,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。冬期間は利用不可。,,,,,
170003,LL0000000051,石川県,県民の森,ケンミンノモリ,kenminnomori,172065,,石川県加賀市山中温泉上新保町イ68,石川県,加賀市,上新保町,イ68,,便所（バーベキュー舎）,36.2190948,136.4637934,,,2,1,0,1,2,0,2,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。冬期間は利用不可。,,,,,
